Hyperparameters
Source,dblpv7
Target,citationv1
Seed,1
Learning Rate,0.001
Weight Decay,0.002
Dropout,0.1
Encoder Dim,512
Label Rate,0.05
Expert Num,3
LLM,qwen2.5:7b

Epoch,Cls Loss,Gate Loss,Select Loss,High Quality Semi Loss,Total Loss,Source Acc,Target Acc,Macro F1,Micro F1
1,1.611207127571106,0.0034924231003969908,0.33425307273864746,-0.03299295902252197,1.948612093925476,0.33879780769348145,0.2630106508731842,0.14285217842193793,0.2630106323447118
2,1.578494668006897,0.0032472037710249424,0.29158246517181396,-0.09127569198608398,1.8716617822647095,0.3342440724372864,0.26401790976524353,0.13858920124846746,0.26401790710688305
3,1.5487021207809448,0.002302519977092743,0.27735891938209534,-0.15452873706817627,1.8243635892868042,0.33151182532310486,0.26379406452178955,0.13799830868357535,0.263794068270845
4,1.5198915004730225,0.0018259671051055193,0.27735891938209534,-0.2213832139968872,1.7916308641433716,0.3324225842952728,0.2642417550086975,0.13796933929999858,0.2642417459429211
5,1.4861221313476562,0.0016816838178783655,0.3129177689552307,-0.26408958435058594,1.7892791032791138,0.3324225842952728,0.26368215680122375,0.1376465948043218,0.263682148852826
6,1.452939510345459,0.0014462454710155725,0.3129177689552307,-0.32503342628479004,1.7503328323364258,0.33515483140945435,0.26368215680122375,0.13771339480342976,0.263682148852826
7,1.4274985790252686,0.001008321763947606,0.3058060109615326,-0.35504209995269775,1.7116734981536865,0.33879780769348145,0.2596530616283417,0.0857529941810953,0.259653049804141
8,1.3951470851898193,0.0004967625136487186,0.2986942231655121,-0.4183032512664795,1.6637072563171387,0.3442623019218445,0.2592053711414337,0.08670942443304758,0.2592053721320649
9,1.3553602695465088,0.0003372204373590648,0.2986942231655121,-0.47094929218292236,1.6150376796722412,0.34153005480766296,0.25998881459236145,0.0849678716472787,0.2599888080581981
10,1.2925180196762085,0.0004390149551909417,0.2915824353694916,-0.5175074338912964,1.535390019416809,0.34153005480766296,0.2595411241054535,0.0852683281187669,0.259541130386122
11,1.2877806425094604,0.0002495429653208703,0.2133530229330063,-0.5615954399108887,1.4421030282974243,0.3479052782058716,0.260884165763855,0.0855365198072235,0.2608841634023503
